Stock Final Price,Stock Total Value,Money,Assets,Savings,Number of Stocks, Minimum Performance, Maximum Performance,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10
941.227,10049.7,9949.67,0,100,0,0,0,1017,998.569,1012.11,1003.42,972.766,1013.69,994.157,991.124,1007.57,991.598
1069.74,10832.2,1874.29,8557.93,400,8,0,0,1017.29,997.104,1002.06,1007.87,974.646,1001.33,998.073,990.9,1022.59,996.812
1323.95,12589.1,2345.4,7943.69,2300,6,0,0,1021.05,987.865,1002.05,1020.48,962.209,1002.68,997.877,996.06,1021.14,989.58
1353.13,11610.5,9610.54,0,2000,0,0,0,1028.7,990.604,992.943,1014.39,959.345,998.275,999.389,992.063,1029.01,1014.72
1037.62,9954.86,9354.86,0,600,0,0,0,1037.3,988.325,994.659,1007.92,967.062,995.372,1004.58,997.845,1040.34,1017.73
1057.45,9799.89,9599.89,0,200,0,0,0,1036.95,983.277,1003.37,1013.12,986.63,1004.32,1001.73,995.484,1034.11,1021.45
1106.73,10457.8,1103.96,8853.84,500,8,0,0,1050.82,980.592,992.199,1018.62,984.6,1008.7,1006.37,1009.99,1030.57,1030.64
1232.7,12388.7,1727.17,9861.57,800,8,0,0,1028.23,988.853,989.784,1021.44,982.286,1018.19,1001.41,1010.37,1030.3,1029.43
1311.08,11545.2,1778.78,7866.45,1900,6,0,0,1030.82,993.341,982.712,1023.55,993.057,1002.62,1015.49,1012.76,1028.54,1038.48
1155.7,11016.6,1826.74,8089.89,1100,7,0,0,1047.42,992.547,973.889,1014.45,990.661,1008.71,1007.64,1014.33,1021.27,1055.8
 , , , , , , , ,1053.38,997.376,980.766,990.197,1002.62,999.541,1031.3,1023.12,1027.78,1085.75
 , , , , , , , ,1048.75,991.205,992.249,982.875,1003.18,1008.64,1043.69,1017.98,1009.98,1083.43
 , , , , , , , ,1028.33,996.032,994.088,981.604,995.616,1015.63,1055.69,1000.33,1018.85,1066.62
 , , , , , , , ,1021.56,1012.63,1003.88,971.229,1013.92,1026.87,1056.47,993.094,1025.86,1050.54
 , , , , , , , ,1023.71,988.398,1003.55,976.923,1002.99,1033.49,1044.03,1005.19,1023.33,1041.03
 , , , , , , , ,1028.91,975.491,994.485,977.312,1001.67,1010.16,1048.45,1005.98,1015.43,1030.32
 , , , , , , , ,1013.57,985.531,1009.86,954.868,998.482,1008.15,1065.34,1004.88,1026.13,1026.99
 , , , , , , , ,1011.5,984.944,1029.01,965.492,997.581,1019.32,1065.2,1008.61,1026.67,1026.34
 , , , , , , , ,992.816,981.151,1034.31,964.349,1013.68,1017.28,1055.58,1006.57,1016.64,1027.9
 , , , , , , , ,993.508,990.93,1027.14,972.852,1026.07,1037.07,1057.18,1005.62,1022.56,1026.37
 , , , , , , , ,991.211,987.399,1039.93,986.458,1029.39,1036.55,1054.49,1012.72,1019.47,1035.89
 , , , , , , , ,991.167,996.674,1035.58,988.227,1030.35,1052.14,1052.06,995.815,1039.84,1022.71
 , , , , , , , ,983.617,976.97,1054.34,995.12,1014.58,1058.21,1043.41,1009.69,1040.97,1030.41
 , , , , , , , ,976.406,989.302,1046.71,990.683,1028.99,1062.41,1036.61,1010.82,1054.65,1032.58
 , , , , , , , ,992.89,986.58,1056.45,984.417,1023.16,1052.05,1053.28,998.104,1054.44,1051.38
 , , , , , , , ,991.772,966.835,1065.34,989.619,1029.54,1058.65,1043.55,1017.78,1052.91,1047.68
 , , , , , , , ,996.506,960.383,1086,980.873,1024.02,1036.87,1045.09,1026.45,1060.08,1059.42
 , , , , , , , ,1006,963.943,1100.55,981.207,1020.95,1029.78,1036.98,1029.79,1058.76,1066.6
 , , , , , , , ,1005,954.058,1098.53,982.437,1023.65,1046.22,1020.22,1038.66,1051.05,1065.26
 , , , , , , , ,1005.42,954.337,1108.67,947.675,1031.74,1050.22,992.9,1037.27,1045.11,1079
 , , , , , , , ,998.624,943.923,1102.43,954.438,1028.18,1041.82,990.124,1033.67,1040.17,1080.1
 , , , , , , , ,1002.47,956.087,1085.52,959.883,1022.7,1036.24,987.982,1021.01,1035.47,1089.73
 , , , , , , , ,999.489,964.153,1079.62,956.249,1033.82,1030.35,983.077,1021.84,1024.72,1095.59
 , , , , , , , ,1009.48,974.293,1093.26,951.652,1036.1,1023.45,973.784,1026.84,1034.28,1086.86
 , , , , , , , ,1014.6,971.186,1090.98,943.215,1042.02,1028.39,964.47,1020.94,1039.95,1085.28
 , , , , , , , ,1032.19,974.616,1102.72,937.717,1026.75,1045.79,960.324,1019.84,1041.18,1096.44
 , , , , , , , ,1031.4,980.29,1112.44,947.193,1013.26,1039.38,953.999,1010.07,1039.19,1097.12
 , , , , , , , ,1029.8,989.225,1121.43,938.68,1018.47,1037.49,934.593,1013.37,1051.26,1087.6
 , , , , , , , ,1041.93,983.932,1129.71,945.763,1015.96,1040.73,945.064,1021.23,1049.34,1083.77
 , , , , , , , ,1035.72,992.137,1112.69,951.682,1018.61,1040.4,924.817,1036.6,1030.88,1086.25
 , , , , , , , ,1037.13,981.612,1115.66,956.678,1025.26,1032.51,922.092,1045.51,1024.62,1080.26
 , , , , , , , ,1043.63,963.736,1116.26,971.953,1013.2,1046.84,923.963,1058.16,1012.79,1091
 , , , , , , , ,1062.97,970.393,1105.62,979.502,1020.57,1065.36,933.195,1052.18,981.981,1084.25
 , , , , , , , ,1066.66,979.068,1107.87,981.969,1014.92,1062.94,934.05,1053.75,963.58,1087.64
 , , , , , , , ,1067.21,977.012,1124,957.631,1023.47,1059.3,948.139,1056.8,953.052,1088.92
 , , , , , , , ,1070.48,965.715,1115.14,951.058,1010.03,1056.2,945.516,1059.47,939.272,1092.22
 , , , , , , , ,1082.07,957.141,1130.03,948.519,1003.01,1053.36,949.378,1050.14,940.906,1100.05
 , , , , , , , ,1092.8,949.892,1129.72,949.296,1012.73,1043.97,962.721,1042.28,941.018,1103.16
 , , , , , , , ,1083.56,957.124,1146.59,935.306,1004.54,1036.95,957.155,1031.13,935.321,1099.78
 , , , , , , , ,1069.81,957.581,1136.2,926.907,1024.3,1038.11,950.936,1032.64,946.511,1074.77
 , , , , , , , ,1070.96,971.023,1134.56,931.848,1019.1,1025.48,941.995,1038.56,958.178,1074.63
 , , , , , , , ,1076.47,976.972,1125.02,945.978,1031.52,1012,940.942,1065.46,955.59,1061.4
 , , , , , , , ,1084.42,970.09,1133.7,936.047,1024.89,1013.58,951.266,1063.35,958.812,1057.03
 , , , , , , , ,1083.12,954.639,1139.73,949.038,1016.5,1038.87,936.078,1065.08,954.829,1045.73
 , , , , , , , ,1084.38,958.918,1153.7,961.228,1029.96,1042.9,944.803,1068.97,951.423,1050.35
 , , , , , , , ,1078.35,940.467,1147.44,967.717,1032.21,1051.98,936.568,1068.57,936.059,1057.17
 , , , , , , , ,1080.13,939.431,1139,979.699,1031.5,1036.36,939.497,1068.06,917.021,1061.06
 , , , , , , , ,1078.76,943.806,1149.69,981.14,1022.82,1020.1,938.509,1077.57,927.315,1087
 , , , , , , , ,1071.45,926.834,1135.21,982.729,1022.52,1030.28,947.573,1058.89,927.995,1090.88
